Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	dde57e62-dd79-441c-ae65-889fe516ddbf	Detection		NeuN: Ignore*	Root object (Image)	Polygon	399.99	205.02	1318.2128	236.6808	934.2766	206.2404	0.603	24.0097
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	5f90ba06-2fc8-4bca-9b77-9688fc560289	Detection		NeuN: Ignore*	Root object (Image)	Polygon	236.57	239.95	1314.5918	206	897.2449	204.261	0.653	20.1299
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	19760e54-19c7-445e-8483-79f3712159d8	Detection		NeuN: Ignore*	Root object (Image)	Polygon	800.61	697.72	1741.3062	381.8571	2556.8164	203.2486	0.6751	20.8101
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	aa62d7ff-a6eb-4523-ad39-1bf8990bd720	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	783.3	497.33	4385.0444	551.1778	2396.1555	202.6266	0.6589	19.6224
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	ac013c3d-4db2-4eb6-aec8-868dd32ea6bb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	730.31	561.01	2022.6222	358.9778	2342.4666	201.628	0.5813	21.9152
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	cd228a57-17f1-4ef2-9348-973c36ccdb56	Detection		NeuN: Ignore*	Root object (Image)	Polygon	222.91	234.22	1430.0233	207.5116	1033.9535	199.5014	0.6705	20.1853
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	76ea05e2-e399-482e-960d-decedb3e7b27	Detection		NeuN: Ignore*	Root object (Image)	Polygon	438.4	199.25	1677.8636	252.0227	1099.7273	196.6359	0.6787	19.237
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	160a6edc-da3c-4be4-894a-7d29562ca8b3	Detection		Ignore*	Root object (Image)	Polygon	412.54	212.63	1244.75	212.4792	803.5833	195.257	0.5388	21.8828
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	d781aab5-f5fe-4059-91b9-53777239d97a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	787.36	605.49	3866.3408	298.6591	969.7045	191.2431	0.6725	18.0269
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	b55bd717-a053-4675-850d-3059704e7ef7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	398.5	260.74	1914.0303	356.9394	1159.0605	147.2549	0.4978	22.7653
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	f3e13856-6433-4cb1-b91b-4252e7aaae7b	Detection		Ignore*	Root object (Image)	Polygon	384.44	378.13	1147.7778	209.0667	733.4222	190.122	0.4384	28.3759
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	9e828645-77e7-4223-9e13-a4533e28299d	Detection		Ignore*	Root object (Image)	Polygon	274.3	467.24	865.4878	180.2927	329.6585	187.2419	0.6431	18.7965
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	a79f6aa6-4f7b-4a12-8700-68847941c47b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	397.33	170.32	1800.0851	248.8085	889.2128	185.1188	0.5055	23.6895
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	fc57c63b-1592-4b33-bf01-78f73a18f4fd	Detection		Ignore*	Root object (Image)	Polygon	254.7	278.85	1066.1136	192.7273	686.3182	185.0051	0.5779	20.5544
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	4a0baadc-47cc-44a5-8927-6e6b391cc101	Detection		NeuN: Ignore*	Root object (Image)	Polygon	676.73	351.46	2673.9546	562.9091	4381.0454	181.6159	0.5882	19.6476
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	d226cbcf-5f6b-48f5-a838-f327794e6143	Detection		NeuN: Ignore*	Root object (Image)	Polygon	411.24	282.26	2008.4773	299.9546	1183.1136	180.364	0.6298	19.9838
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	e9b4cd68-4fef-45ae-848f-696641c27c01	Detection		NeuN: Ignore*	Root object (Image)	Polygon	770.14	460.23	2735.7805	330.2195	1426.5122	179.3664	0.7035	17.7049
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	b66b2b2a-7afe-4ad0-b5b4-506edf340d3d	Detection		Ignore*	Root object (Image)	Polygon	498.76	260.03	1331.7	228.45	729.525	178.872	0.5808	19.2238
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	dd932e5a-7106-4b75-913d-a79a8d6076e4	Detection		Ignore*	Root object (Image)	Polygon	357.84	375.42	1063.75	200.0227	784.0227	178.01	0.4276	26.087
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	3e61be32-34f2-4b11-93f2-835924b95b2b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	462.42	253.18	1467.9269	247.3902	931.0975	178.6305	0.5657	19.7062
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	4659364a-ded6-4b15-b851-feac1d44efc4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	488.87	537.51	2338.9524	480.1667	3042.9524	178.4841	0.5712	23.0489
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	360c6d96-a269-4e5b-aa8b-94eaf2c7be15	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	823.48	508.28	4429.769	445.6154	2177.718	175.8793	0.7254	17.0323
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	1c7101ef-f21f-4556-930d-4bac24cc19c1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	415.75	796.45	2127.3096	481.1905	2210.0952	175.016	0.6494	18.2007
