Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	922a2a3d-b860-465b-addb-ef82afcbe5b7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	390.44	820.48	2230.8979	422.966	8403.6699	836.232	0.6775	36.7027
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	74cf402e-420c-414e-8e19-5bf9bfade7fd	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	957.2	524.71	6461.1201	436.9904	5175.0479	830.7414	0.573	39.6734
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	c6fcc0f5-99c7-49d0-bde0-7747ca11f90b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	385.64	877.12	1822.9142	395.3283	6239.4141	828.898	0.7024	38.0779
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	2c3b6747-95b8-4efc-9c98-9cfe30a13e64	Detection		NeuN: Ignore*	Root object (Image)	Polygon	502.37	857.93	2154.3147	368.401	2125.269	811.2714	0.6877	36.8458
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	2789b3e2-0579-4ad7-831a-4cafdde4c62e	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	388.73	768.42	6906.8896	412.9474	7244.4634	804.3685	0.6489	40.2356
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	480a4eaa-9a44-413a-858f-144c9cf88ef4	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	633.05	694.75	5451.1401	247.7927	4501.8862	797.2547	0.6002	38.4361
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	b70baefc-bdfd-4395-8cc8-3be76e6f8647	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	524.43	529.52	5888.2134	337.0711	7190.2437	797.2305	0.5774	44.9031
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	162c9fa2-5705-409e-90f5-3e39d6327138	Detection		NeuN: Ignore*	Root object (Image)	Polygon	624.82	437.83	2227.6094	418.2292	3544.2812	787.1448	0.6845	37.7266
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	7e1d14de-4278-4e13-bd8e-ce0992b1c7ff	Detection		NeuN: Ignore*	Root object (Image)	Polygon	363.44	833.22	1691.5707	359.4031	6891.916	786.8786	0.5709	39.0012
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	a4861c50-9ad8-494b-bc9c-5030c3862459	Detection		NeuN: Ignore*	Root object (Image)	Polygon	367.65	507.07	2372.4922	575.9372	6325.8169	779.6373	0.5456	41.3206
