Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	676a0b54-4b3c-4caf-b7a9-eedc1a01109f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	337.7	222.21	5848.2017	394.0081	5060.5728	496.2681	0.5781	30.87
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	504d24d1-28a7-49ad-a7f6-7e1167e052e1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	453.41	144.16	3234.562	531.8678	8348.5039	484.8616	0.6167	30.5663
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	df50efa7-16be-406d-a231-0013ac402ed0	Detection		NeuN: Ignore*	Root object (Image)	Polygon	206.25	377.11	1988.807	467.4123	5538.4385	482.1391	0.6699	27.2677
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	7bbd84bd-b99f-44ab-9fe5-aa3b7e650bc4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	372.94	436.93	2082.3276	458.0672	4325.1763	479.5024	0.5312	34.3391
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ea112ac2-9d80-4b46-a79a-0fb18024b061	Detection		NeuN: Ignore*	Root object (Image)	Polygon	491.96	360.13	2628.9197	388.1161	5097.6519	474.0216	0.5833	30.1076
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	69177453-470d-4485-8929-06dd2df194fa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	106.01	464.74	2013.7264	431.1026	5880.1196	472.3791	0.5824	33.0512
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	8e2acebc-643e-4397-b053-69cb3409dab1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	149.75	534.26	3808.8108	424.2703	4920.8921	464.7421	0.6404	28.851
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f80e3d27-5219-4f7b-8b00-7383c4f2c2b1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	230.93	275.11	1922.7819	446.6091	4168.5273	459.8628	0.653	33.2443
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ab3f285e-fab3-47ca-9833-215ee0b99ba7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	497.03	328.7	3629.5	436.8214	8165.5181	454.7548	0.6428	28.7326
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	016cbe9d-f815-4e5e-ae52-4031bb50b76b	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	327.2	185.19	5016.2456	1067.4	4183.8271	455.246	0.6329	29.5857
