Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	0d076b0e-9b78-4582-b2d3-8be6d7a4c743	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	405.47	190.62	4150.0684	509.1023	5100.8862	367.3675	0.682	24.9664
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	3718eab8-348c-41e4-bd70-8eabe5c208cf	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	247.06	178.03	11006.2998	605.0333	4175.5112	366.1324	0.539	30.608
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	83a13e2b-e341-497c-821e-3b8e77f64e91	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	165.69	452.6	9555.6367	456.5796	3440.625	363.7339	0.6563	25.709
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	d49e2046-840a-4d6e-9f23-f23224d11b3a	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	437.32	292.38	5431.9414	524.2235	2220.4119	359.8848	0.5774	28.5056
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	41191df6-3ce7-4e6f-8c0f-196885b6d981	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	85.44	314.62	10646.5117	411.5227	7498.5342	357.1277	0.6789	24.5813
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	6ba4931d-1bed-4fab-b266-87c369d39b41	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	466.31	390.06	9076.7734	439.5476	3301.238	355.3676	0.5633	26.5532
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	4b3fda98-5c65-4cad-88c1-fcb2306710f1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	224.4	462.91	3693.9875	430.3951	3022.7654	354.1347	0.5857	30.4999
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	99441c88-d699-4f96-aa57-837dce5e0907	Detection		NeuN: Ignore*	Root object (Image)	Polygon	231.78	516.74	3050.2771	415.3133	5418.6748	352.7448	0.4438	33.4599
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	36a469e0-119f-417c-a560-789bcdc2dcc7	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	313.01	193.91	4936.2559	680.0975	3418.6951	341.9907	0.6057	25.539
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	bd4b819a-2577-4297-9a37-84680e258b05	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	426.32	110.36	7888.6353	478.4706	4937.6353	341.8583	0.5973	25.392
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	3a3e0c92-7bdb-4c43-ae07-ff960ea3478c	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	220.37	290.81	4597.0117	443.6548	2100.1667	340.8671	0.6759	23.6231
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	a069033a-37cb-4560-9883-990016683335	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	263.45	141.07	8175.1978	578.5233	4034.907	340.4995	0.5756	24.8235
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	f5878f6f-7e7a-49fc-bb35-a9ad60fce144	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	255.82	356.86	11779.0391	440.5195	3901.5845	339.1277	0.6842	26.8797
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ec66136a-4c23-4e17-b7e5-adb6e4a37f83	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	336.21	273.67	6698.6421	473.8271	3274.2346	333.7545	0.4916	28.9913
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	a1fe130f-e875-45f2-ad3e-7b38539198a4	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	443.83	336.02	10263.7559	431.2561	3962.5977	332.6438	0.6454	26.5042
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	bf12d18b-0eef-4d78-8c63-0dde89c521df	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	287.2	141.23	12537.0371	518.3333	2597.1235	330.1257	0.6019	26.0778
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	d373d03d-f49c-4c8f-a020-203400662325	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	504.25	496.35	14280.6963	922.2152	5995.7471	328.2632	0.5107	32.7623
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	70cff66d-e2b0-42ef-8abf-96964b57df88	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	365.45	158.67	5624.1899	534	3019.9368	327.993	0.6787	23.9915
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	1e792d27-8309-4b18-8caf-8997573b0742	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	547.02	468.55	4280.2896	582.1579	5029.4868	324.9982	0.6222	27.9701
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	09914125-0a22-4062-916f-f1a026992301	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	358.46	219.76	5846.8569	680.026	4260.3115	323.5086	0.4978	27.2563
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	04dceb5d-2289-466c-ba39-9c6152286f39	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	461.85	355.44	20333.3535	460.6707	6583.8901	322.3853	0.4872	27.9817
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ca318b9c-52df-4114-a483-775152942730	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	213.2	228.56	5342.1665	478.359	4355.7822	320.9956	0.5499	26.0888
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	6e036c88-6128-4ed8-91b4-47258b25eea4	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	159.33	251.4	10546.4004	550.36	4575.04	318.7442	0.5677	25.3237
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	f95f01d4-85a8-4ca7-9cb2-4715544cb13c	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	201.67	251.29	4501.3379	514.1558	3844.5715	316.009	0.6737	23.4709
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	afd620a9-0c46-4673-be1d-e58b3655f3ce	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	287.53	196.73	9730.3203	588.3734	3240.9866	314.5096	0.6705	24.6229
