Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	facf7d4b-b3da-4c4d-b404-6fb046bce909	Detection		NeuN: Ignore*	Root object (Image)	Polygon	730.63	465.54	2097.6318	512.3626	2830.1484	742.0007	0.6064	38.3058
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	a68cc29c-0a19-44a0-9d4b-fd850e1ca7e1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	418.92	429.34	2902.7471	394.5843	4187.562	723.6161	0.5751	40.1625
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	660ed02b-6aa9-48cb-9605-c62ca88d5846	Detection		NeuN: Ignore*	Root object (Image)	Polygon	503.16	867.72	1852.2325	568.1977	2215.0059	721.2412	0.6357	36.913
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	696bfe4c-6891-4ca7-a1e6-8a24b3d014a0	Detection		NeuN: Ignore*	Root object (Image)	Polygon	263.23	632.12	2940.1526	410.6158	3865.2769	720.6201	0.566	42.2382
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	cd12142c-d4db-4c93-9032-b5f3d5d8163c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	351.13	429.4	3468.1582	531.1412	5835.0508	716.7449	0.4785	47.6911
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	0450de97-4a06-4d09-8685-fc937e6bfa8f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	834.16	617.1	4568.7007	504.6271	5046.0225	715.6273	0.6325	35.721
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	824a321a-daaa-45ab-b3d9-02559afe1998	Detection		NeuN: Ignore*	Root object (Image)	Polygon	882.76	487.18	2155.9485	483.2229	4983.6572	708.518	0.5925	39.6535
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	b243c100-e076-4c39-9b64-1f4b97bd3bfd	Detection		NeuN: Ignore*	Root object (Image)	Polygon	833.46	756.05	3608.0522	2182.8896	3944.5581	707.0063	0.5112	40.7291
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	35190d17-9eb5-4933-b86c-a97ed98d0658	Detection		NeuN: Ignore*	Root object (Image)	Polygon	754.61	579.51	2560.6104	527.0523	5882.6743	697.8712	0.6305	34.6481
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	3d6b7153-d23f-4ff1-8585-338fb5a5ea9f	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	888.72	819.35	2529.5842	8570.4941	2584.5603	692.9958	0.6722	34.3803
